country,subnational1,area_ha,year,carbon_gross_emissions
Malaysia,Perak,2091110,2017,10829565
Malaysia,Perlis,82349,2017,177435
Malaysia,Pulau Pinang,105622,2017,133247
Malaysia,Putrajaya,6173,2017,13633
Malaysia,Sabah,7372091,2017,33842106
Malaysia,Sarawak,12379545,2017,109060544
Malaysia,Selangor,782443,2017,3100241
Malaysia,Trengganu,1288895,2017,8798471
Malaysia,Johor,1911485,2018,11669352
Malaysia,Kedah,951787,2018,8404860
Malaysia,Kelantan,1513205,2018,16709363
Malaysia,Kuala Lumpur,27198,2018,36194
Malaysia,Labuan,9066,2018,16358
Malaysia,Melaka,165403,2018,1768802
Malaysia,Negeri Sembilan,666738,2018,6174179
Malaysia,Pahang,3585238,2018,31837425
Malaysia,Perak,2091110,2018,8194107
Malaysia,Perlis,82349,2018,109162
Malaysia,Pulau Pinang,105622,2018,85190
Malaysia,Putrajaya,6173,2018,13919
Malaysia,Sabah,7372091,2018,30871759
Malaysia,Sarawak,12379545,2018,98992412
Malaysia,Selangor,782443,2018,3369929
Malaysia,Trengganu,1288895,2018,7785161
Malaysia,Johor,1911485,2019,11492822
Malaysia,Kedah,951787,2019,6893634
Malaysia,Kelantan,1513205,2019,19215005
Malaysia,Kuala Lumpur,27198,2019,16472
Malaysia,Labuan,9066,2019,10357
Malaysia,Melaka,165403,2019,1877576
Malaysia,Negeri Sembilan,666738,2019,4796904
Malaysia,Pahang,3585238,2019,30060307
Malaysia,Perak,2091110,2019,8080205
Malaysia,Perlis,82349,2019,126378
Malaysia,Pulau Pinang,105622,2019,84421
Malaysia,Putrajaya,6173,2019,9516
Malaysia,Sabah,7372091,2019,26467419
Malaysia,Sarawak,12379545,2019,79985029
Malaysia,Selangor,782443,2019,2897072
Malaysia,Trengganu,1288895,2019,7430061
Malaysia,Johor,1911485,2020,7982444
Malaysia,Kedah,951787,2020,5029638
Malaysia,Kelantan,1513205,2020,10893225
Malaysia,Kuala Lumpur,27198,2020,6270
Malaysia,Labuan,9066,2020,16944
Malaysia,Melaka,165403,2020,1039320
Malaysia,Negeri Sembilan,666738,2020,3383042
Malaysia,Pahang,3585238,2020,22824586
Malaysia,Perak,2091110,2020,6420773
Malaysia,Perlis,82349,2020,159911
Malaysia,Pulau Pinang,105622,2020,77488
Malaysia,Putrajaya,6173,2020,6416
Malaysia,Sabah,7372091,2020,20562367
Malaysia,Sarawak,12379545,2020,46688536
Malaysia,Selangor,782443,2020,1733194
Malaysia,Trengganu,1288895,2020,4582375
Malaysia,Johor,1911485,2021,7901281
Malaysia,Kedah,951787,2021,4312246
Malaysia,Kelantan,1513205,2021,13107446
Malaysia,Kuala Lumpur,27198,2021,11037
Malaysia,Labuan,9066,2021,16950
Malaysia,Melaka,165403,2021,943834
Malaysia,Negeri Sembilan,666738,2021,3740996
Malaysia,Pahang,3585238,2021,23278271
Malaysia,Perak,2091110,2021,7681938
Malaysia,Perlis,82349,2021,97765
Malaysia,Pulau Pinang,105622,2021,89066
Malaysia,Putrajaya,6173,2021,12774
Malaysia,Sabah,7372091,2021,21207572
Malaysia,Sarawak,12379545,2021,45653199
Malaysia,Selangor,782443,2021,2816861
Malaysia,Trengganu,1288895,2021,4889039
Malaysia,Johor,1911485,2022,6046323
Malaysia,Kedah,951787,2022,3372310
Malaysia,Kelantan,1513205,2022,12323633
Malaysia,Kuala Lumpur,27198,2022,6327
Malaysia,Labuan,9066,2022,22610
Malaysia,Melaka,165403,2022,796033
Malaysia,Negeri Sembilan,666738,2022,2788519
Malaysia,Pahang,3585238,2022,16098470
Malaysia,Perak,2091110,2022,5380044
Malaysia,Perlis,82349,2022,144106
Malaysia,Pulau Pinang,105622,2022,73630
Malaysia,Putrajaya,6173,2022,5868
Malaysia,Sabah,7372091,2022,20153878
Malaysia,Sarawak,12379545,2022,47435841
Malaysia,Selangor,782443,2022,1394662
Malaysia,Trengganu,1288895,2022,6214182
